,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance
st895,28.33,975.64,1.22
st896,29.28,1143.36,1.35
st897,22.89,743.78,8.09
st898,16.75,502.37,15.25
st899,56.08,5101.51,3.63
st900,22.91,1504.05,7.79
st901,22.42,877.39,12.59
st902,72.4,5231.03,1.22
st903,46.55,2645.82,0.34
st904,18.21,533.87,2.26
st905,76.88,7863.09,1.43
st906,60.02,5431.73,1.35
st907,13.39,562.53,0.34
st908,24.28,1248.66,1.35
st909,23.84,629.05,21.7
st910,25.18,1006.57,1.07
st911,16.53,366.38,14.48
st912,24.43,666.23,20.64
st913,68.79,7086.67,0.95
st914,15.16,938.57,14.12
st915,53.13,2782.95,3.47
st916,77.77,11384.02,1.22
st917,43.73,3040.51,3.02
st918,12.16,187.96,1.07
st919,36.24,1343.95,1.69
st920,17.17,302.7,2.13
st921,53.36,4248.11,0.95
st922,14.79,299.51,2.13
st923,20.29,748.33,8.6
st924,23.38,609.83,11.12
st925,43.84,1958.66,5.01
st926,38.35,1392.39,2.26
st927,28.33,2065.89,4.12
st928,27.65,1030.33,3.39
st929,24.7,529.1,21.46
st930,16.59,490.21,5.28
st931,13.3,211.05,10.03
st932,19.29,401.28,4.72
st933,17.59,731.39,1.82
st934,22.82,724.34,10.59
st935,50.58,3639.31,3.39
st936,12.14,185.01,8.27
st937,60.62,3952.92,5.25
st938,25.75,789.38,1.43
st939,16.46,303.49,4.98
st940,25.81,1633.91,1.51
st941,35.36,1287.2,12.6
st942,25.2,766.52,2.86
st943,39.58,1908.97,3.32
st944,20.23,833.73,1.22
st945,62.46,5841.09,3.58
st946,62.88,3837.73,4.05
st947,17.7,372.97,3.11
st948,28.16,1563.86,0.34
st949,35.99,1425.36,2.26
st950,86.23,8001.36,3.32
st951,65.2,6321.4,0.95
st952,58.41,3164.79,1.69
st953,36.92,2291.72,2.63
st954,12.97,194.45,3.84
st955,35.9,3713.9,4.72
st956,33.73,1075.59,5.01
st957,44.54,4596.18,3.18
st958,25.85,701.48,9.83
st959,39.43,2484.12,5.14
st960,16.66,457.8,7.49
st961,41.02,1744.09,1.97
st962,29.95,1141.88,15.19
st963,22.51,541.03,14.64
st964,29.93,1099.58,0.95
st965,25.28,606.99,6.72
st966,22.42,839.64,2.9
st967,43.94,1969.35,3.03
st968,32.69,1431.39,4.72
st969,55.03,3357.99,4.72
st970,32.71,1952.64,6.22
st971,14.97,251.87,22.25
st972,76.93,12424.36,2.05
st973,20.56,631.78,9
st974,11.22,197.52,7.43
st975,45.15,1981.98,9.83
st976,40.49,2764.99,8.11
st977,24.7,1216.13,1.43
st978,75.54,11032.09,2.45
st979,68.68,6190.97,1.43
st980,21.11,433.12,11.41
st981,31.24,2254.99,2.02
st982,33.54,1650.05,1.22
st983,59.61,4537.85,2.38
st984,36.02,1249.45,10.79
st985,47.21,2066.12,1.01
st986,30.5,1107.43,2.45
st987,15.16,289.51,1.01
st988,44.46,1902.49,2.38
st989,72.39,5786.5,1.82
st990,36.69,1240.7,2.38
st991,53.21,3782.92,1.22
st992,44.71,2056.8,1.22
st993,25.32,773,11.8
st994,24.28,654.4,8.43
st995,14.43,203.88,2.38
st996,33.89,1342.69,5.27
st997,24.96,780.74,1.69
st998,18.35,670.21,12.88
st999,22.9,513.74,2.36
st1000,70.89,9109.92,3.39
st1001,37.63,1542.26,1.69
st1002,52.54,3020.49,3.11
st1003,9.54,234.81,1.07
st1004,62.88,3484.77,3.11
st1005,25.18,768.46,0.34
st1006,64.84,10422.6,1.01
st1007,18.16,361.37,4.06
st1008,33.48,1719.42,11.47
st1009,23.92,828.95,2.13
st1010,25.63,1834.38,3.39
st1011,44.51,2203.37,1.01
st1012,26.3,996.67,1.22
st1013,37.62,2196.43,5.73
st1014,28.33,1011.57,9.78
st1015,64.5,4481.56,4.06
st1016,32.62,2280.69,8.16
st1017,25.95,631.43,1.82
st1018,36.8,3164.57,2.45
st1019,74.86,7369.92,2.57
st1020,27.31,1139.04,2.57
st1021,22.66,741.85,1.82
st1022,38.63,1321.77,1.97
st1023,49.89,2508.11,3.84
st1024,30.2,1445.03,1.01
st1025,14.42,198.65,9.8
st1026,35.74,1387.72,2.05
st1027,40.1,1945.13,3.32
st1028,72.58,5150.86,4.38
st1029,16.86,485.66,6.82
st1030,14.48,216.28,3.18
st1031,32.37,1875.09,2.43
st1032,24.76,1342.81,2.57
st1033,36.02,1521.9,6.2
st1034,28.63,1303.01,0.34
st1035,25.28,678.85,1.97
st1036,75.97,13228.18,2.43
st1037,20.33,914.8,4.05
st1038,12.96,271.88,2.57
st1039,16.87,269.72,11.31
st1040,30.08,1025.1,20.21
st1041,34.67,1473.23,3.77
st1042,52.91,2898.03,2.05
st1043,23.9,527.5,3.65
st1044,20.02,555.48,27.61
st1045,33.38,1267.99,7.09
st1046,21.94,1084.23,7.24
st1047,13.89,256.64,30.24
st1048,50.67,6591.46,3.32
st1049,40,1543.62,2.43
st1050,15.38,313.73,12.26
st1051,19.56,355.35,4.23
st1052,45.23,2820.14,3.47
st1053,26.5,1167.01,2.78
st1054,33.67,1189.98,2.43
st1055,37.48,1474.49,0.34
st1056,48.28,2176.42,3.34
st1057,29.5,2164.03,7.87
st1058,30.5,1224.44,2.26
st1059,14.79,220.14,11.47
st1060,63.69,5408.64,2.26
st1061,16.66,276.09,16
st1062,41.32,1480.51,6.63
st1063,30.59,1026.12,3.34
st1064,19.6,490.09,6.74
st1065,46.32,9175.99,2.05
st1066,31.38,1023.17,4.5
st1067,58.19,4262.33,2.36
st1068,45,3330.81,3.63
st1069,19.57,478.27,6.74
st1070,36.8,1544.08,5.73
st1071,33.83,2669.24,7.63
st1072,49.2,5168.26,1.82
st1073,29.81,1365.55,3.93
st1074,49.1,6549.84,3.63
st1075,34.4,1584.78,3.32
st1076,37.54,3723.79,3.2
st1077,36.02,1887.6,5.07
st1078,36.65,1622.54,5.25
st1079,19.6,384.46,2.36
st1080,29.28,2813.2,1.69
st1081,31.02,1238.42,10.24
st1082,42.53,3508.99,8.6
st1083,24.18,786.99,0.95
st1084,41.14,5926.94,1.69
st1085,74.56,7503.31,0.95
st1086,14.08,603.01,11.76
st1087,30.48,927.99,1.39
st1088,34.89,1869.86,15.16
st1089,42.47,2562.47,1.39
st1090,38.45,2657.3,3.32
st1091,34.12,1320.63,7.08
st1092,40.74,2982.74,2.02
st1093,21.59,1234.21,2.72
st1094,64.62,5849.27,1.91
st1095,31.75,1024.53,2.7
st1096,72.39,10651.04,1.82
st1097,18.22,453.02,0.34
st1098,73.52,12463.25,1.07
st1099,37.48,3004.8,3.58
st1100,29.86,2265.23,1.51
st1101,83.74,15683.99,1.01
st1102,19.08,391.96,2.13
st1103,42.47,3330.81,13.84
st1104,31.02,1881.11,7.4
st1105,22.27,850.1,4.38
st1106,32.94,1317.91,1.97
st1107,72.09,9060.35,1.51
st1108,26.38,1260.82,8.77
st1109,71.39,16343.85,0.95
st1110,12.72,242.32,8.04
st1111,63.16,5636.18,1.51
st1112,36.51,6704.03,1.69
st1113,32.6,1627.54,1.72
st1114,34.05,1339.17,9.33
st1115,34.98,3076.89,3.58
st1116,19.45,405.04,10.39
st1117,31.12,1315.18,2.38
st1118,36.51,2458.08,2.05
st1119,44.13,2389.63,1.51
st1120,20.05,738.21,10.46
st1121,77.82,14042.57,1.39
st1122,23.76,570.49,1.01
st1123,26.34,620.06,3.65
st1124,31,1156.66,29.71
st1125,37.8,1830.85,4.06
st1126,46.4,6302.3,2.57
st1127,29.22,1690.65,9.8
st1128,28.37,1401.14,0.34
st1129,46.75,3267.13,1.35
st1130,31.09,1123.92,1.51
st1131,31.14,1314.27,2.45
st1132,44.92,7402.67,3.77
st1133,19.45,381.84,2.38
st1134,37.73,3185.49,5.4
st1135,77.91,20421.74,1.22
st1136,33.55,1586.83,1.82
st1137,40.06,1491.31,2.7
st1138,31.37,1318.59,8.27
st1139,22.09,537.62,13.53
st1140,23.56,901.27,1.01
st1141,31.81,1495.18,1.39
st1142,30.82,3159.45,3.03
st1143,26.68,710.12,3.02
st1144,35.23,1665.52,1.01
st1145,27.65,919.69,1.35
st1146,49.75,8080.39,2.43
st1147,27.45,1199.76,3.02
st1148,19.46,846.92,0.34
st1149,32.69,1138.24,2.16
st1150,46.07,3227.67,1.51
st1151,15.08,810.3,0.34
st1152,17.86,322.82,9.28
st1153,15.38,242.43,4.52
st1154,37.82,1724.31,2.88
st1155,49.31,6552.12,1.69
st1156,20.82,549.68,12.64
st1157,40.58,5380.22,1.22
st1158,12.6,185.92,8.85
st1159,37.41,2929.3,1.69
st1160,29.57,3136.14,3.77
st1161,65.26,8544.55,0.95
st1162,39.47,6282.62,0.34
st1163,15.69,471.9,2.45
st1164,22.51,822.47,3.02
st1165,45.71,4352.16,1.35
st1166,16.33,348.52,1.22
st1167,57.44,10717,1.35
st1168,28.14,1985.73,2.38
st1169,30.58,1972.54,0.95
st1170,19.57,552.18,6.08
st1171,39.12,3216.08,3.02
st1172,27.31,1016,7.4
st1173,30.54,1601.95,1.97
st1174,15.51,263.13,6.08
st1175,21.51,670.32,2.16
st1176,22.67,762.88,5.4
st1177,24.95,1637.77,3.77
st1178,27.13,2028.48,5.06
st1179,28.33,1016.46,7.76
st1180,12.88,195.47,6.95
st1181,9.73,292.12,5.06
st1182,14.23,483.38,2.26
st1183,15.41,696.59,6.55
st1184,12.88,209.11,3.05
st1185,22.02,744.69,5.33
st1186,26.68,1061.15,9.5
st1187,10.79,279.84,2.43
st1188,32.55,1248.09,16.86
st1189,34.45,1813.34,8.85
st1190,21.43,529.66,8.85
st1191,48.68,3325.35,3.02
st1192,23.21,474.4,1.35
st1193,25.28,1262.07,2.86
st1194,19.45,450.86,1.01
st1195,19.92,606.76,0.34
st1196,17.23,1812.21,0.34
st1197,43.34,1959.46,1.22
st1198,14.53,505.1,1.22
st1199,12.54,193.65,4.72
st1200,40.82,2285.24,1.22
st1201,19.66,733.32,2.7
st1202,34.99,2014.84,2.13
st1203,31.99,3346.28,0.75
st1204,22.18,667.03,2.13
st1205,26.3,1255.93,1.39
st1206,13.28,617.79,0.34
st1207,24.87,841.91,1.39
st1208,11.93,353.53,0.48
st1209,15.53,632.69,0.75
st1210,23.23,1193.62,1.39
st1211,22.67,819.06,1.07
st1212,24.28,1039.54,0.34
st1213,32.88,1336.33,1.35
st1214,21.96,911.5,0.48
st1215,10.66,209.23,3.52
st1216,35.05,1616.17,1.01
st1217,10.56,340.79,1.39
st1218,27.86,953.69,1.07
st1219,25.59,963.81,1.01
st1220,21.68,784.03,0.34
st1221,10.56,248.8,3.11
st1222,20.24,576.29,0.67
st1223,24.29,714.9,1.35
st1224,21.88,545.13,2.36
st1225,17.7,516.25,2.36
st1226,21.59,703.53,1.43
st1227,42.23,2093.18,1.01
st1228,22.93,849.53,1.22
st1229,27.68,873.3,1.97
st1230,47.9,3347.07,1.07
st1231,15.74,639.51,1.07
st1232,10.79,356.37,0.34
st1233,37.77,1659.83,0.67
st1234,51.72,4359.1,0.95
st1235,27.53,869.54,1.97
st1236,41.07,1740.11,0.95
st1237,48,2988.54,1.01
st1238,26.85,916.51,2.05
st1239,17.59,608.01,0.95
st1240,26.3,961.42,1.35
st1241,21.79,463.94,1.22
st1242,22.89,882.05,1.69
st1243,20.64,797.79,0.67
st1244,34.84,1259.23,2.13
st1245,27.77,1132.1,1.69
st1246,22.46,768.57,1.22
st1247,21,768.8,1.07
st1248,28.68,835.77,2.13
st1249,25.59,915.94,1.35
st1250,23.49,829.41,1.22
st1251,22.46,837.02,1.22
st1252,21,954.94,1.22
st1253,30.5,1341.22,1.01
st1254,30.05,955.06,1.07
st1255,20.39,735.71,2.13
st1256,12.8,491.12,0.34
st1257,38.45,2040.88,1.35
st1258,25.63,680.56,1.07
st1259,47.27,2322.65,1.01
st1260,25.18,1007.36,1.69
st1261,68.79,6550.3,1.69
st1262,21.72,797.22,1.01
st1263,20.78,769.71,0.95
st1264,73.67,16433,1.22
st1265,20.02,702.05,1.39
st1266,17.96,520,1.39
st1267,35.8,1352.02,3.2
st1268,52.48,2591.81,0.95
st1269,49.98,2713.48,1.35
st1270,12.8,273.59,12.84
st1271,79.59,6254.2,1.69
st1272,22.42,682.15,1.39
st1273,11.52,394.12,0.67
st1274,19.31,540.24,0.95
st1275,43.73,3105.44,1.69
st1276,14.16,482.25,0.67
st1277,18.52,622.57,1.07
st1278,26.86,1126.3,2.36
st1279,34.24,1502.34,1.07
st1280,28.61,1762.17,1.69
st1281,35.02,1884.3,0.95
st1282,47.9,2227.02,1.01
st1283,26.03,929.7,0.95
st1284,38.34,2261.7,1.01
st1285,17.59,380.48,1.22
st1286,13.28,187.74,1.82
st1287,69.77,6011.65,3.2
st1288,60.34,4386.61,0.95
st1289,52.07,3001.28,1.01
st1290,19.56,785.51,1.51
st1291,40.61,2197.8,1.01
st1292,32.58,1572.73,3.77
st1293,24.32,760.38,1.69
st1294,31.81,2941.92,0.34
st1295,27.15,1870.99,1.69
st1296,29.22,2847.2,0.34
st1297,22.12,1132.78,1.69
st1298,24.02,1144.95,0.34
st1299,14.85,334.54,13.44
st1300,32.58,1111.86,2.16
st1301,40.04,3856.27,0.34
st1302,42.89,2104.21,8.6
st1303,34.04,5898.85,1.35
st1304,13.49,253.8,3.84
st1305,34.72,1525.09,1.39
st1306,14.48,576.85,0.34
st1307,40.42,7878.67,4.68
st1308,10.66,228.56,5.4
st1309,20.48,708.53,0.48
st1310,26.99,1609.46,0.34
st1311,40.87,4370.81,1.35
st1312,22.54,521.25,3.18
st1313,16.75,425.62,1.97
st1314,17.55,915.48,0.34
st1315,85.1,12943.11,0.95
st1316,17.34,389.91,2.13
st1317,30.2,2341.98,2.9
st1318,16.53,775.73,1.35
st1319,13.28,400.37,0.34
st1320,38.18,2907.69,1.51
st1321,35.48,2226,1.82
st1322,30.2,2020.75,1.51
st1323,16.03,443.36,1.72
st1324,18.79,382.75,7.45
st1325,16.3,282,4.12
st1326,25.34,730.82,3.18
st1327,22.25,1391.02,1.82
st1328,29,6042.13,1.22
st1329,42.11,7083.03,3.71
st1330,13.49,489.41,0.34
st1331,23.69,956.87,1.35
st1332,15.39,336.7,8.23
st1333,17.53,1153.71,1.69
st1334,11.8,364.78,0.34
st1335,17.19,416.41,5.74
st1336,16.7,388.78,1.51
st1337,15.22,515.11,1.35
st1338,31.09,2167.89,5.41
st1339,46.69,8525.22,1.22
st1340,38.62,4035.82,1.51
st1341,42.89,2532.9,1.35
st1342,22.97,912.41,0.34
st1343,24.28,513.18,4.38
st1344,20.51,923.22,1.69
st1345,32.44,2042.36,1.43
st1346,18.16,1435.94,0.34
st1347,24.44,2431.47,1.82
st1348,20.41,517.04,2.9
st1349,18.88,680.22,4.52
st1350,12.4,190.58,4.38
st1351,38.61,9731.92,1.01
st1352,42.01,2521.42,1.69
st1353,15.53,357.96,3.03
st1354,29.13,3808.51,1.01
st1355,17.19,522.39,1.39
st1356,41.16,4678.28,1.43
st1357,34.69,1814.02,8.12
st1358,18.35,660.77,0.34
st1359,29,2546.89,1.69
st1360,31.7,1671.43,2.36
st1361,15.92,241.98,2.72
st1362,40.34,1974.02,0.34
st1363,38.61,4433.58,1.07
st1364,37.7,2127.53,4.32
st1365,22.82,562.87,1.01
st1366,21.07,449.95,2.72
st1367,28.37,1738.41,1.39
st1368,43.4,3814.42,4.4
st1369,11.52,286.21,4.07
st1370,20.23,608.01,4.72
st1371,32.6,1116.64,1.22
st1372,15.16,264.04,9.26
st1373,19.08,1632.54,1.35
st1374,33.16,1932.28,0.34
st1375,36.69,4693.18,1.01
st1376,45.86,2856.75,1.97
st1377,18.7,382.64,2.02
st1378,26.3,1853.94,6.03
st1379,17.65,337.83,2.86
st1380,33.48,1688.6,1.97
st1381,50.37,4706.03,1.22
st1382,14.93,260.17,1.01
st1383,28.72,1757.62,1.07
st1384,45.87,2156.86,3.18
st1385,33.72,3501.6,1.51
st1386,49.46,5415.92,3.18
st1387,17.59,989.17,0.34
st1388,28.83,4036.27,0.67
st1389,24.88,829.18,2.72
st1390,19.84,1878.73,1.01
st1391,51.08,3317.39,2.36
st1392,38.82,2712.34,1.69
st1393,42.83,1918.3,5.65
st1394,45.31,4538.64,0.34
st1395,35.21,1931.49,1.69
st1396,56.11,12536.02,0.34
st1397,51.89,5913.97,1.35
st1398,54.71,3601.33,1.51
st1399,33.38,1509.05,1.69
st1400,11.8,392.19,0.34
st1401,60.49,14207.91,1.22
st1402,32.89,3664.89,1.22
st1403,39.29,2739.17,2.13
st1404,32.63,1928.76,2.13
st1405,13.09,260.97,2.16
st1406,25.09,1044.09,1.22
st1407,40.74,2056.8,2.36
st1408,26.3,1213.18,1.82
st1409,49.39,4357.62,3.47
st1410,31.81,1136.65,4.72
st1411,9.47,215.6,5.44
st1412,21.58,1040.11,8.75
st1413,23.6,1096.97,2.38
st1414,16.03,910.82,0.75
st1415,16.21,518.18,0.75
st1416,13.51,348.52,0.34
st1417,39.03,1733.29,1.07
st1418,37.59,2148.79,2.16
st1419,40.4,2579.3,2.13
st1420,55.56,5938.42,2.63
st1421,30.71,1177.36,2.57
st1422,25.18,1602.3,3.02
st1423,24.32,890.01,1.35
st1424,45.31,6019.61,1.35
st1425,39.12,2788.64,1.22
st1426,46.92,4466.89,1.69
st1427,31.21,1822.78,2.7
st1428,52.76,2540.64,1.51
st1429,21.43,1041.82,2.45
st1430,53.89,6845.38,0.34
st1431,22.46,779.03,4.05
st1432,20.95,1225.69,2.43
st1433,25.75,1866.22,3.58
st1434,22.94,751.29,2.36
st1435,40.54,4907.98,1.07
st1436,53.65,5004.18,1.69
st1437,63.43,4691.47,1.69
st1438,40.34,1568.07,1.51
st1439,102.71,11063.13,1.69
st1440,46.27,4760.95,1.69
st1441,17.92,790.29,1.91
st1442,22.89,566.85,2.57
st1443,46.03,6426.69,0.34
st1444,56.11,7275.2,1.35
st1445,21.62,1085.37,1.97
st1446,27.65,986.33,1.69
st1447,75.71,11901.06,1.69
st1448,67.26,6557.69,2.7
st1449,44.78,3037.44,3.11
st1450,50.26,3598.14,1.51
st1451,27.51,1994.37,1.69
st1452,22.54,979.16,1.82
st1453,51.93,5454.01,1.72
st1454,23.72,1104.24,1.35
st1455,32.55,1269.81,2.45
st1456,46.18,6719.27,0.34
st1457,24.61,943,1.51
st1458,68.6,7586.88,1.22
st1459,22.97,670.21,3.32
st1460,25.53,1410.81,2.13
st1461,18.16,458.14,5.65
st1462,49.69,5529.18,0.34
st1463,48.68,2797.51,2.86
st1464,15.53,805.98,1.82
st1465,30.36,1991.87,1.69
st1466,35.95,3177.53,3.34
st1467,60.66,8797.22,1.39
st1468,33.11,2142.53,2.26
st1469,32.15,1563.41,1.82
st1470,46.14,2929.53,0.34
st1471,33.48,1271.85,3.02
st1472,26.02,955.4,3.11
st1473,56.35,7530.03,1.22
st1474,23.21,1216.48,1.69
st1475,69.21,6125.36,0.95
st1476,36.15,1216.25,3.02
st1477,37.2,1404.67,2.02
st1478,42.6,2677.77,1.97
st1479,41.6,4666.91,2.16
st1480,52.83,3877.64,1.69
st1481,60.21,3881.28,1.39
st1482,70.89,10581.91,1.69
st1483,29.71,1400.8,0.34
st1484,63.04,9730.33,1.69
st1485,50.87,5912.61,2.02
st1486,56.92,3469.99,1.39
st1487,43.1,3023.68,1.35
st1488,19.31,622.45,2.45
st1489,47.02,6524.83,2.02
st1490,38.34,2264.21,1.82
st1491,22.33,870.34,1.97
st1492,41.01,5000.88,1.22
st1493,17.92,479.63,3.44
st1494,45.78,3567.56,2.26
st1495,43.76,4139.18,0.95
st1496,20.95,1119.48,11.09
st1497,14.23,287.35,15.29
st1498,12.14,199.9,14.18
st1499,27.73,1439.92,2.63
st1500,60.7,8578.21,1.69
st1501,26.85,1344.86,1.97
st1502,16.75,333.85,3.03
st1503,24.95,933.22,5.49
st1504,24.28,743.78,3.02
st1505,23.07,1206.13,3.72
st1506,20.51,1543.39,2.02
st1507,18.41,544.45,6.4
st1508,12.83,285.07,10.48
st1509,44.76,5440.94,1.22
st1510,30.29,3334.9,2.38
st1511,55.03,8513.06,1.51
st1512,40.75,1593.43,2.7
st1513,37.62,2616.71,1.69
st1514,15.08,229.24,3.93
st1515,37.5,1820.62,1.69
st1516,58.15,7771.44,1.69
st1517,22.89,1377.15,2.38
st1518,67.08,6469.56,1.43
st1519,30.95,1517.35,3.34
st1520,51.5,4176.02,1.01
st1521,55.5,5963.1,1.43
st1522,59.35,9126.18,0.34
st1523,67.5,12647.91,1.22
st1524,40.54,1955.14,2.57
st1525,37.5,3429.4,2.13
st1526,23.46,886.37,3.77
st1527,21.58,563.09,1.22
st1528,37.98,3616.22,1.22
st1529,52.04,3814.99,2.36
st1530,30.5,1887.03,7.4
st1531,32.6,2387.13,1.51
st1532,51.37,3668.99,1.01
st1533,29.71,2225.54,2.13
st1534,29,862.72,2.26
st1535,22.66,624.73,4.17
st1536,45.23,10055.2,2.02
st1537,14.43,239.59,19.22
st1538,76.02,11238.81,2.26
st1539,18,354.78,1.69
st1540,43.84,2674.25,2.05
st1541,12.38,278.93,5.4
st1542,19.6,395.83,6.94
st1543,44.64,6269.66,1.35
st1544,23.21,1034.2,2.57
st1545,30.35,1682.58,10.28
st1546,14.03,202.29,2.02
st1547,42.1,2497.31,2.26
st1548,68.84,12213.31,1.07
st1549,17.23,349.55,3.34
st1550,25.85,1221.37,5.49
st1551,38.93,2748.73,3.32
st1552,15.69,1101.17,1.22
st1553,50.37,9022.03,2.13
st1554,13.89,310.88,2.13
st1555,27.39,950.51,6.08
st1556,65.17,13072.62,1.07
st1557,58.69,7034.14,1.69
st1558,61.11,8305.99,1.07
st1559,16.9,684.54,1.07
st1560,16.86,299.06,3.37
st1561,46.02,5938.19,1.69
st1562,56.12,5067.97,3.37
st1563,53.55,5735.79,1.35
st1564,47.08,2600.67,2.38
st1565,49.93,6844.13,1.69
st1566,31.59,1534.07,2.36
st1567,21.33,590.39,7.7
st1568,12.97,192.4,0.34
st1569,58.33,3718.34,4.27
st1570,17.5,318.16,0.34
st1571,29.01,1625.49,3.03
st1572,66,16282.33,1.69
st1573,35.84,3409.04,2.36
st1574,36.24,2547.12,1.22
st1575,22.93,562.41,4.38
st1576,33.72,1693.72,3.52
st1577,68.2,9608.43,1.69
st1578,50.33,5498.13,1.69
st1579,37.92,3675.24,2.02
st1580,13.84,238.11,6.15
st1581,13.51,244.93,9.17
st1582,33.18,1492.22,2.36
st1583,42.06,4415.5,3.77
st1584,29.05,1147.79,2.57
st1585,13.25,292.24,3.44
st1586,15.39,278.36,4.29
st1587,20.51,937.43,3.71
st1588,45.24,2898.26,2.02
st1589,38.16,3422.8,3.39
st1590,33.73,2224.41,3.71
st1591,47.77,7929.49,4.54
st1592,32.58,1132.44,2.63
st1593,64.78,7405.63,1.22
st1594,52.63,5688.71,1.22
st1595,13.66,264.83,0.34
st1596,19.66,451.09,0.34
st1597,22.9,510.11,0.34
st1598,10.79,188.19,0.34
st1599,12.81,298.6,0.34
st1600,29.46,803.59,3.02
st1601,15.29,284.28,0.34
st1602,24.1,549.68,3.2
st1603,9.96,218.78,0.34
st1604,21.97,591.41,0.34
st1605,23.76,550.47,1.97
st1606,19.92,432.44,2.57
st1607,24.73,1858.37,1.97
st1608,20.91,570.26,0.34
st1609,29.38,921.51,3.58
st1610,17.96,480.43,3.71
st1611,21.72,608.24,5.65
st1612,20.21,507.15,0.34
st1613,31.12,1709.87,4.06
st1614,26.77,1138.58,0.34
st1615,25.34,608.01,4.91
st1616,16.31,542.97,0.34
st1617,26.86,909.91,5.27
st1618,28.46,854.19,7.08
st1619,20.92,550.81,3.63
st1620,18.21,442.45,0.34
st1621,21.42,543.42,3.77
st1622,18.99,376.15,2.05
st1623,20.64,450.98,3.63
st1624,15.39,463.14,0.34
st1625,20.82,494.75,3.77
st1626,29.09,970.29,4.98
st1627,21.84,582.31,3.32
st1628,14.16,191.15,4.1
st1629,27.39,988.26,4.29
st1630,20.82,452.68,9.35
st1631,22.26,650.88,0.34
st1632,14.43,284.16,10.73
st1633,24.15,683.97,3.34
st1634,19.56,474.06,7.9
st1635,29.28,861.59,5.44
st1636,22.94,820.65,3.32
st1637,31.6,1166.44,4.98
st1638,28.24,964.15,0.34
st1639,16.66,369.67,5.14
st1640,19.74,670.21,0.34
st1641,8.09,243.11,0.34
st1642,27.52,922.99,5.44
st1643,27.19,758.79,4.06
st1644,18.16,667.14,0.34
st1645,8.12,207.52,0.34
st1646,16.24,340.45,7.02
st1647,21.59,629.73,4.06
st1648,20.48,444.61,3.71
st1649,11.52,449.84,6.41
st1650,23.68,714.44,5.49
st1651,29.67,909.46,12.27
st1652,21.58,818.26,0.34
st1653,16.03,238.22,4.06
st1654,24.8,710.8,5.58
st1655,17.7,416.75,3.72
st1656,22.27,662.93,3.71
st1657,18.52,427.32,0.34
st1658,25.64,925.38,0.34
st1659,15.92,238.11,7.69
st1660,22.93,600.73,2.7
st1661,20.51,640.3,0.34
st1662,30.5,1160.3,3.72
st1663,22.82,818.15,11.63
st1664,22.93,622.45,4.07
st1665,23.68,641.1,5.4
st1666,12.44,246.52,0.34
st1667,19.31,519.09,3.44
st1668,8.09,169.2,0.34
st1669,24.8,1020.1,0.34
st1670,34.08,1082.41,3.02
st1671,32.06,1402.51,3.37
st1672,24.28,561.39,4.72
st1673,28.46,898.54,8.49
st1674,20.51,1000.54,2.02
st1675,26.34,670.21,3.02
st1676,27.13,1022.71,2.02
st1677,24.52,608.92,11.69
st1678,28.81,851.92,2.13
st1679,30.58,1063.42,0.34
st1680,25.66,672.37,11.8
st1681,28.36,791.43,1.69
st1682,23.61,614.38,1.69
st1683,14.84,267.9,0.34
st1684,27.29,756.52,1.69
st1685,17.53,459.96,3.95
st1686,16.68,405.49,3.02
st1687,34.5,1267.08,1.69
st1688,14.93,248.57,9.38
st1689,20.51,566.39,13.57
st1690,10.12,217.76,0.34
st1691,21.77,592.09,3.2
st1692,18.1,400.72,4.86
st1693,25.09,767.89,13.57
st1694,29.09,887.06,7.54
st1695,16.86,371.27,1.51
st1696,12.4,183.76,2.02
st1697,31.78,1503.14,0.34
st1698,10.87,245.27,9.3
st1699,23.95,849.08,1.82
st1700,24.36,896.95,5.23
st1701,9.44,284.39,3.03
st1702,20.78,717.97,15.99
st1703,12.4,439.04,3.65
st1704,24.95,871.02,2.36
st1705,21.07,541.38,7.49
st1706,28.63,1027.38,18.03
st1707,16.87,350,1.43
st1708,12.81,517.84,0.34
st1709,24.28,768.46,5.23
st1710,16.46,562.3,3.2
st1711,23.23,883.76,0.34
st1712,17.53,355.23,3.77
st1713,13.44,600.28,7.4
st1714,18.1,538.19,3.37
st1715,22.54,788.92,3.2
st1716,20.54,918.1,13.69
st1717,33.72,1550.56,1.39
st1718,24.45,814.74,5.44
st1719,20.94,657.25,7.4
st1720,13.9,424.37,2.02
st1721,24.73,1027.72,2.02
st1722,21.07,1458.68,1.97
st1723,17.96,543.31,3.37
st1724,17.7,483.5,4.12
st1725,21.12,573.78,3.77
st1726,20.98,915.03,3.2
st1727,21,573.44,7.43
st1728,15.16,355.69,3.93
st1729,22.18,561.84,1.01
st1730,18.9,1381.92,2.7
st1731,31.38,1756.83,1.43
st1732,16.03,380.59,6.95
st1733,10.47,255.62,2.7
st1734,18.35,518.98,3.82
st1735,23.41,690.91,3.93
st1736,24.13,1251.04,3.18
st1737,41.41,2093.53,1.82
st1738,22.3,1064.44,11.21
st1739,18.93,488.96,36.5
st1740,22.67,1305.97,1.82
st1741,38.61,1474.71,1.82
st1742,17.81,343.41,7.26
st1743,15.53,260.62,3.18
st1744,22.89,734.8,5.15
st1745,32.94,1712.6,9.28
st1746,35.23,7133.06,2.02
st1747,16.53,778.12,4.83
